machine_id,cycle,temperature,vibration,pressure,rpm,voltage,humidity,failure
1,1,75.61,2.864,100.77,3019.5,217.35,48.3,0
1,2,72.92,1.233,99.13,3005.1,219.03,48.13,0
1,3,76.5,2.433,101.91,2992.6,220.84,53.98,0
1,4,76.88,1.837,99.06,3079.3,219.79,50.99,0
1,5,71.1,1.972,99.04,2968.8,218.7,49.37,0
1,6,72.4,1.477,100.81,3102.8,218.65,51.5,0
1,7,75.27,1.837,101.14,2988.5,218.57,43.69,0
1,8,74.38,2.656,100.66,2935.8,218.23,49.88,0
1,9,74.98,2.299,97.46,3003.0,224.55,56.01,0
1,10,73.32,2.875,100.79,2945.6,220.58,50.42,0
1,11,76.79,2.599,98.43,2961.7,221.76,50.23,0
1,12,76.59,2.232,100.33,3019.1,219.01,51.68,0
1,13,75.17,2.887,97.84,3026.8,219.61,52.72,0
1,14,77.3,2.237,100.64,2967.8,218.55,44.05,0
1,15,75.99,2.434,98.75,3048.1,214.67,45.0,0
1,16,73.34,1.874,98.03,3056.5,217.22,50.69,0
1,17,75.8,2.059,101.02,3070.2,216.35,47.92,0
1,18,73.15,1.68,100.31,3024.7,215.46,54.01,0
1,19,76.84,2.527,99.02,3066.2,217.57,49.13,0
1,20,74.99,1.446,102.11,2903.7,222.61,44.29,0
1,21,74.73,2.43,99.27,2981.7,219.86,46.29,0
1,22,73.75,1.948,99.97,2954.0,222.53,41.86,0
1,23,77.56,2.633,100.32,3003.0,220.76,49.42,0
1,24,74.82,2.427,98.97,2968.2,221.5,49.56,0
1,25,74.28,2.966,100.6,2988.2,218.13,48.87,0
1,26,74.45,2.425,99.09,3090.4,220.97,53.39,0
1,27,76.23,1.279,99.26,2987.5,221.38,53.76,0
1,28,75.91,2.036,101.91,3016.3,218.76,49.66,0
1,29,76.01,1.489,98.3,2983.7,221.03,43.78,0
1,30,76.06,1.821,96.23,2998.8,221.03,52.05,0
1,31,79.5,2.841,102.26,2995.0,218.79,51.88,0
1,32,74.41,2.41,103.65,3016.7,217.64,51.16,0
1,33,74.22,1.747,99.21,3052.2,217.51,53.19,0
1,34,73.63,1.596,96.9,3075.9,220.04,46.76,0
1,35,76.5,2.125,99.33,3008.7,220.52,56.3,0
1,36,77.55,1.507,99.35,3022.3,218.27,47.41,0
1,37,75.08,1.786,99.49,2934.9,219.9,52.55,0
1,38,73.64,2.284,98.09,2987.6,220.98,45.26,0
1,39,73.69,2.713,100.62,3038.6,221.07,47.55,0
1,40,76.66,2.447,100.52,3034.4,222.93,54.9,0
1,41,76.86,1.004,97.48,3001.2,222.37,49.59,0
1,42,76.48,2.309,100.75,3034.5,217.8,52.91,0
1,43,74.08,2.2,102.77,3014.3,223.16,51.12,0
1,44,75.89,2.379,99.94,3049.3,218.72,50.12,0
1,45,75.68,2.988,99.16,3003.2,221.86,54.54,0
1,46,75.91,1.156,99.43,2970.5,219.9,49.76,0
1,47,77.23,1.901,100.55,3004.5,218.93,45.15,0
1,48,75.96,2.5,97.02,2840.7,216.13,48.1,0
1,49,76.89,1.423,99.85,3005.8,219.39,52.19,0
1,50,75.69,2.96,99.0,2803.7,216.6,51.74,0
1,51,76.16,2.415,102.34,2899.4,221.65,45.88,0
1,52,76.86,2.664,99.29,3007.6,222.73,48.43,0
1,53,72.71,1.964,102.03,3008.3,218.09,48.88,0
1,54,75.01,2.666,97.86,2925.7,220.28,49.55,0
1,55,74.73,2.803,100.38,2947.6,218.21,46.54,0
1,56,74.42,2.395,99.96,3051.1,218.39,48.81,0
1,57,75.17,2.406,98.15,2957.7,221.19,48.54,0
1,58,78.74,2.434,99.71,3093.5,219.55,53.06,0
1,59,74.04,1.878,101.24,2980.6,223.09,53.2,0
1,60,77.74,2.246,98.91,3000.4,218.64,50.36,0
1,61,72.46,2.254,96.84,3060.2,221.59,49.65,0
1,62,75.18,2.533,99.33,2985.2,219.77,51.27,0
1,63,76.21,2.853,97.98,2927.8,221.15,48.43,0
1,64,77.08,1.835,98.8,2971.8,218.65,47.47,0
1,65,77.36,2.313,99.17,2974.7,219.43,48.12,0
1,66,77.55,3.128,96.72,2907.6,219.29,49.06,0
1,67,75.3,2.027,96.83,2962.3,217.83,47.51,0
1,68,75.1,2.0,99.95,2937.2,220.81,51.51,0
1,69,77.77,2.524,98.42,3019.8,220.77,53.25,0
1,70,75.71,2.858,95.34,2974.5,220.64,46.33,0
1,71,73.57,2.454,100.34,2957.9,222.51,51.2,0
1,72,73.89,3.125,99.54,2965.9,222.32,50.49,0
1,73,74.35,2.902,98.04,2981.6,218.66,52.21,0
1,74,77.21,2.908,97.11,3000.4,220.14,51.18,0
1,75,76.53,2.777,100.32,2918.8,218.13,46.89,0
1,76,77.66,3.677,99.56,2915.8,219.4,47.5,0
1,77,75.46,2.424,102.59,3022.3,218.14,51.41,0
1,78,76.67,1.539,99.62,2945.6,222.56,54.44,0
1,79,77.64,3.357,99.54,2894.5,220.03,44.74,0
1,80,75.8,2.34,98.68,2986.6,218.85,52.46,0
1,81,77.37,2.637,100.13,2986.7,221.66,55.03,0
1,82,75.17,3.252,99.82,2886.1,214.91,51.04,0
1,83,75.8,1.811,100.73,2973.2,215.21,53.18,0
1,84,75.8,2.001,98.04,2997.6,220.81,49.46,0
1,85,74.21,1.842,98.14,2978.6,219.32,51.25,0
1,86,77.62,2.26,98.05,2990.5,219.68,46.78,0
1,87,75.74,2.893,99.92,2887.7,216.51,44.65,0
1,88,76.75,2.95,100.96,2973.5,219.09,54.55,0
1,89,77.72,2.842,97.99,2940.9,223.13,48.81,0
1,90,77.69,2.014,98.01,2930.9,220.75,50.43,0
1,91,78.17,1.581,99.09,2997.5,219.42,47.68,0
1,92,76.68,2.78,98.22,3026.9,218.18,47.65,0
1,93,76.08,2.533,99.99,3041.7,218.25,51.4,0
1,94,76.8,3.015,95.15,3016.7,214.76,49.77,0
1,95,73.63,3.153,97.26,2944.4,219.51,53.14,0
1,96,74.15,2.888,97.29,2966.4,220.67,53.41,0
1,97,74.45,3.216,94.95,2986.1,215.8,53.05,0
1,98,75.14,2.968,96.95,2952.7,217.61,52.85,0
1,99,77.98,3.136,96.99,2952.1,216.6,56.91,0
1,100,75.41,2.537,98.03,2985.6,216.96,49.02,0
1,101,76.51,2.817,99.97,2940.4,218.97,52.1,0
1,102,79.91,3.023,97.9,2905.7,214.68,55.71,0
1,103,76.65,3.353,96.69,2920.3,220.05,56.15,0
1,104,78.88,2.765,98.11,2971.6,220.31,48.14,0
1,105,75.58,3.241,99.74,2938.9,218.27,51.51,0
1,106,77.09,2.866,96.66,2954.6,213.79,56.57,0
1,107,75.64,2.959,96.73,2969.9,216.74,54.07,0
1,108,76.91,3.452,98.89,2916.5,221.17,53.18,0
1,109,79.32,2.06,97.69,2971.8,213.12,51.99,0
1,110,74.23,2.427,98.95,2951.7,217.96,51.54,0
1,111,78.61,2.354,97.93,2869.8,216.27,53.6,0
1,112,78.26,1.948,98.96,3002.4,220.22,52.03,0
1,113,76.65,2.796,96.32,2904.0,217.23,52.71,0
1,114,75.0,3.53,97.82,2845.0,219.36,53.12,0
1,115,78.08,3.033,97.48,2874.3,219.66,50.9,0
1,116,76.93,3.295,95.93,2874.2,222.18,54.59,0
1,117,78.51,3.761,95.37,2926.6,218.07,61.78,0
1,118,78.14,3.902,98.71,2909.0,219.2,47.76,0
1,119,81.35,3.224,97.11,2904.5,215.46,54.12,0
1,120,77.72,3.957,96.07,2951.0,220.78,50.92,0
1,121,76.21,3.347,97.42,2935.7,216.85,54.99,0
1,122,78.67,2.904,99.21,2933.1,217.22,53.45,0
1,123,78.8,3.048,94.06,2936.4,218.27,55.65,0
1,124,81.14,2.626,95.19,2945.4,215.17,56.94,0
1,125,80.14,2.945,96.01,2807.8,218.72,54.05,0
1,126,79.24,3.232,99.55,2893.6,220.17,56.92,0
1,127,81.51,3.835,97.74,2801.4,218.79,46.55,0
1,128,76.26,4.317,98.42,2910.8,215.0,58.41,0
1,129,77.42,2.788,95.52,2907.3,217.9,54.82,0
1,130,76.9,3.699,95.5,2958.4,219.61,56.99,0
1,131,78.03,3.005,97.81,2964.0,214.34,50.15,0
1,132,76.12,3.786,97.18,2913.3,215.91,51.38,0
1,133,80.2,3.507,97.87,2876.7,219.79,54.37,0
